,Class,Accuracy,Top 5 Accuracy,F1 score,Precision,Recall,Specificity
352,"impala, Aepyceros melampus",tensor(0.7428),0.98,0.81904763,0.7818182,0.86,0.99975973
353,gazelle,tensor(0.7428),0.98,0.74725276,0.8292683,0.68,0.99985987
354,"Arabian camel, dromedary, Camelus dromedarius",tensor(0.7428),1.0,0.8990826,0.8305085,0.98,0.9997998
355,llama,tensor(0.7428),0.92,0.8842105,0.93333334,0.84,0.9999399
356,weasel,tensor(0.7428),0.96,0.53658533,0.6875,0.44,0.9997998
357,mink,tensor(0.7428),0.94,0.754717,0.71428573,0.8,0.9996797
358,"polecat, fitch, foulmart, foumart, Mustela putorius",tensor(0.7428),0.94,0.49504948,0.49019608,0.5,0.9994795
359,"black-footed ferret, ferret, Mustela nigripes",tensor(0.7428),0.96,0.64,0.64,0.64,0.99963963
360,otter,tensor(0.7428),0.96,0.8041237,0.82978725,0.78,0.99983984
361,"skunk, polecat, wood pussy",tensor(0.7428),0.98,0.9423077,0.9074074,0.98,0.9998999
362,badger,tensor(0.7428),0.98,0.8737864,0.8490566,0.9,0.99983984
363,armadillo,tensor(0.7428),0.94,0.8823529,0.86538464,0.9,0.99985987
364,"three-toed sloth, ai, Bradypus tridactylus",tensor(0.7428),1.0,0.95238096,0.90909094,1.0,0.9998999
365,"orangutan, orang, orangutang, Pongo pygmaeus",tensor(0.7428),0.96,0.9292929,0.93877554,0.92,0.9999399
366,"gorilla, Gorilla gorilla",tensor(0.7428),0.92,0.847826,0.9285714,0.78,0.9999399
367,"chimpanzee, chimp, Pan troglodytes",tensor(0.7428),0.96,0.8653845,0.8333333,0.9,0.9998198
368,"gibbon, Hylobates lar",tensor(0.7428),0.92,0.7551021,0.7708333,0.74,0.99977976
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",tensor(0.7428),0.94,0.8627451,0.84615386,0.88,0.99983984
370,"guenon, guenon monkey",tensor(0.7428),0.94,0.8453609,0.87234044,0.82,0.9998799
371,"patas, hussar monkey, Erythrocebus patas",tensor(0.7428),0.86,0.6938775,0.7083333,0.68,0.99971974
372,baboon,tensor(0.7428),0.98,0.8288289,0.75409836,0.92,0.9996997
373,macaque,tensor(0.7428),0.86,0.7378641,0.7169811,0.76,0.9996997
374,langur,tensor(0.7428),0.9,0.7333333,0.825,0.66,0.99985987
375,"colobus, colobus monkey",tensor(0.7428),0.92,0.9148936,0.97727275,0.86,0.99998
376,"proboscis monkey, Nasalis larvatus",tensor(0.7428),1.0,0.92592597,0.86206895,1.0,0.99983984
377,marmoset,tensor(0.7428),0.88,0.7311828,0.7906977,0.68,0.9998198
378,"capuchin, ringtail, Cebus capucinus",tensor(0.7428),0.94,0.77777773,0.7241379,0.84,0.9996797
379,"howler monkey, howler",tensor(0.7428),0.96,0.80373836,0.75438595,0.86,0.99971974
380,"titi, titi monkey",tensor(0.7428),0.98,0.6168225,0.57894737,0.66,0.9995195
381,"spider monkey, Ateles geoffroyi",tensor(0.7428),0.9,0.5063291,0.6896552,0.4,0.9998198
382,"squirrel monkey, Saimiri sciureus",tensor(0.7428),0.92,0.6363636,0.5833333,0.7,0.9994995
383,"Madagascar cat, ring-tailed lemur, Lemur catta",tensor(0.7428),0.94,0.8,0.9,0.72,0.9999199
384,"indri, indris, Indri indri, Indri brevicaudatus",tensor(0.7428),1.0,0.8070175,0.71875,0.92,0.99963963
385,"Indian elephant, Elephas maximus",tensor(0.7428),0.98,0.5360825,0.5531915,0.52,0.9995796
386,"African elephant, Loxodonta africana",tensor(0.7428),1.0,0.60240966,0.75757575,0.5,0.99983984
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",tensor(0.7428),0.98,0.94,0.94,0.94,0.9999399
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",tensor(0.7428),0.96,0.9292929,0.93877554,0.92,0.9999399
389,"barracouta, snoek",tensor(0.7428),0.94,0.82,0.82,0.82,0.9998198
390,eel,tensor(0.7428),0.86,0.75862074,0.8918919,0.66,0.9999199
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",tensor(0.7428),0.96,0.8297872,0.8863636,0.78,0.9998999
392,"rock beauty, Holocanthus tricolor",tensor(0.7428),1.0,0.95049506,0.9411765,0.96,0.9999399
393,anemone fish,tensor(0.7428),0.96,0.8958333,0.9347826,0.86,0.9999399
394,sturgeon,tensor(0.7428),0.88,0.74,0.74,0.74,0.99973977
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",tensor(0.7428),0.82,0.6464646,0.6530612,0.64,0.99965966
396,lionfish,tensor(0.7428),0.96,0.9306931,0.92156863,0.94,0.9999199
397,"puffer, pufferfish, blowfish, globefish",tensor(0.7428),0.94,0.88,0.88,0.88,0.9998799
398,abacus,tensor(0.7428),0.9,0.8333334,0.8695652,0.8,0.9998799
399,abaya,tensor(0.7428),0.96,0.80373836,0.75438595,0.86,0.99971974
400,"academic gown, academic robe, judge's robe",tensor(0.7428),0.88,0.5555555,0.51724136,0.6,0.9994394
401,"accordion, piano accordion, squeeze box",tensor(0.7428),0.94,0.8484848,0.85714287,0.84,0.99985987
402,acoustic guitar,tensor(0.7428),0.78,0.5977011,0.7027027,0.52,0.99977976
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",tensor(0.7428),0.96,0.8431373,0.8269231,0.86,0.9998198
404,airliner,tensor(0.7428),1.0,0.8468469,0.7704918,0.94,0.99971974
405,"airship, dirigible",tensor(0.7428),0.94,0.8453609,0.87234044,0.82,0.9998799
406,altar,tensor(0.7428),0.98,0.6785714,0.61290324,0.76,0.9995195
407,ambulance,tensor(0.7428),0.98,0.8135593,0.7058824,0.96,0.9995996
408,"amphibian, amphibious vehicle",tensor(0.7428),0.9,0.7422681,0.7659575,0.72,0.99977976
409,analog clock,tensor(0.7428),0.98,0.6,0.55,0.66,0.99945945
410,"apiary, bee house",tensor(0.7428),0.96,0.80373836,0.75438595,0.86,0.99971974
411,apron,tensor(0.7428),0.88,0.70454544,0.81578946,0.62,0.99985987
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",tensor(0.7428),0.82,0.5,0.54761904,0.46,0.9996196
413,"assault rifle, assault gun",tensor(0.7428),0.9,0.5416667,0.5652174,0.52,0.9995996
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",tensor(0.7428),0.7,0.5121951,0.65625,0.42,0.99977976
415,"bakery, bakeshop, bakehouse",tensor(0.7428),0.64,0.32258064,0.3488372,0.3,0.9994394
416,"balance beam, beam",tensor(0.7428),0.98,0.77966106,0.6764706,0.92,0.9995596
417,balloon,tensor(0.7428),0.96,0.8440367,0.779661,0.92,0.99973977
418,"ballpoint, ballpoint pen, ballpen, Biro",tensor(0.7428),0.96,0.64077675,0.6226415,0.66,0.9995996
419,Band Aid,tensor(0.7428),0.94,0.6938775,0.7083333,0.68,0.99971974
420,banjo,tensor(0.7428),0.92,0.8514852,0.84313726,0.86,0.99983984
421,"bannister, banister, balustrade, balusters, handrail",tensor(0.7428),0.96,0.6666666,0.58208954,0.78,0.9994394
422,barbell,tensor(0.7428),0.92,0.6530613,0.6666667,0.64,0.9996797
423,barber chair,tensor(0.7428),0.98,0.77477473,0.704918,0.86,0.99963963
424,barbershop,tensor(0.7428),0.86,0.44705883,0.54285717,0.38,0.9996797
425,barn,tensor(0.7428),0.96,0.9411765,0.9230769,0.96,0.9999199
426,barometer,tensor(0.7428),0.98,0.8627451,0.84615386,0.88,0.99983984
427,"barrel, cask",tensor(0.7428),0.94,0.7157895,0.75555557,0.68,0.99977976
428,"barrow, garden cart, lawn cart, wheelbarrow",tensor(0.7428),0.86,0.776699,0.754717,0.8,0.99973977
429,baseball,tensor(0.7428),0.98,0.82474226,0.85106385,0.8,0.99985987
430,basketball,tensor(0.7428),0.98,0.9583333,1.0,0.92,1.0
431,bassinet,tensor(0.7428),0.96,0.6956522,0.61538464,0.8,0.9994995
432,bassoon,tensor(0.7428),0.98,0.81553394,0.7924528,0.84,0.99977976
433,"bathing cap, swimming cap",tensor(0.7428),0.92,0.65217394,0.71428573,0.6,0.99975973
434,bath towel,tensor(0.7428),0.8,0.6976744,0.8333333,0.6,0.9998799
435,"bathtub, bathing tub, bath, tub",tensor(0.7428),0.86,0.44247785,0.3968254,0.5,0.99923927
436,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",tensor(0.7428),0.82,0.6138614,0.60784316,0.62,0.9995996
437,"beacon, lighthouse, beacon light, pharos",tensor(0.7428),0.96,0.8349515,0.8113208,0.86,0.9997998
438,beaker,tensor(0.7428),0.74,0.6292135,0.71794873,0.56,0.99977976
439,"bearskin, busby, shako",tensor(0.7428),0.98,0.8653845,0.8333333,0.9,0.9998198
440,beer bottle,tensor(0.7428),0.9,0.6666667,0.7209302,0.62,0.99975973
441,beer glass,tensor(0.7428),0.88,0.6336633,0.627451,0.64,0.9996196
442,"bell cote, bell cot",tensor(0.7428),1.0,0.656,0.5466667,0.82,0.9993193
443,bib,tensor(0.7428),0.82,0.7191011,0.82051283,0.64,0.99985987
444,"bicycle-built-for-two, tandem bicycle, tandem",tensor(0.7428),0.94,0.7592593,0.70689654,0.82,0.99965966
445,"bikini, two-piece",tensor(0.7428),0.92,0.5607477,0.5263158,0.6,0.99945945
446,"binder, ring-binder",tensor(0.7428),0.96,0.6875,0.7173913,0.66,0.99973977
447,"binoculars, field glasses, opera glasses",tensor(0.7428),0.78,0.61702126,0.65909094,0.58,0.9996997
448,birdhouse,tensor(0.7428),0.92,0.78095245,0.74545455,0.82,0.99971974
449,boathouse,tensor(0.7428),0.96,0.7368421,0.65625,0.84,0.9995596
450,"bobsled, bobsleigh, bob",tensor(0.7428),0.96,0.8703704,0.8103448,0.94,0.99977976
451,"bolo tie, bolo, bola tie, bola",tensor(0.7428),0.94,0.8712871,0.8627451,0.88,0.99985987
452,"bonnet, poke bonnet",tensor(0.7428),0.88,0.6857143,0.6545454,0.72,0.9996196
453,bookcase,tensor(0.7428),0.96,0.60377353,0.5714286,0.64,0.9995195
454,"bookshop, bookstore, bookstall",tensor(0.7428),0.84,0.48275864,0.5675676,0.42,0.9996797
455,bottlecap,tensor(0.7428),0.74,0.6813187,0.75609756,0.62,0.9997998
456,bow,tensor(0.7428),0.9,0.6495727,0.5671642,0.76,0.9994194
457,"bow tie, bow-tie, bowtie",tensor(0.7428),0.84,0.7191011,0.82051283,0.64,0.99985987
458,"brass, memorial tablet, plaque",tensor(0.7428),0.96,0.86868685,0.877551,0.86,0.9998799
459,"brassiere, bra, bandeau",tensor(0.7428),0.82,0.68181825,0.7894737,0.6,0.99983984
460,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",tensor(0.7428),0.86,0.6896552,0.8108108,0.6,0.99985987
461,"breastplate, aegis, egis",tensor(0.7428),0.92,0.45238093,0.5588235,0.38,0.9996997
462,broom,tensor(0.7428),0.88,0.7446809,0.79545456,0.7,0.9998198
463,"bucket, pail",tensor(0.7428),0.9,0.55102044,0.5625,0.54,0.9995796
464,buckle,tensor(0.7428),0.7,0.62650603,0.7878788,0.52,0.99985987
465,bulletproof vest,tensor(0.7428),0.88,0.6868687,0.6938776,0.68,0.9996997
466,"bullet train, bullet",tensor(0.7428),0.98,0.9514563,0.9245283,0.98,0.9999199
467,"butcher shop, meat market",tensor(0.7428),0.9,0.7083334,0.73913044,0.68,0.99975973
468,"cab, hack, taxi, taxicab",tensor(0.7428),0.86,0.7446809,0.79545456,0.7,0.9998198
469,"caldron, cauldron",tensor(0.7428),0.88,0.5470086,0.47761193,0.64,0.9992993
470,"candle, taper, wax light",tensor(0.7428),0.88,0.58407086,0.52380955,0.66,0.9993994
471,cannon,tensor(0.7428),0.96,0.8888889,0.8979592,0.88,0.9998999
472,canoe,tensor(0.7428),1.0,0.8275862,0.72727275,0.96,0.99963963
473,"can opener, tin opener",tensor(0.7428),0.92,0.6363636,0.5833333,0.7,0.9994995
474,cardigan,tensor(0.7428),0.88,0.7307693,0.7037037,0.76,0.9996797
475,car mirror,tensor(0.7428),0.96,0.86238533,0.7966102,0.94,0.99975973
476,"carousel, carrousel, merry-go-round, roundabout, whirligig",tensor(0.7428),0.96,0.9056604,0.85714287,0.96,0.99983984
477,"carpenter's kit, tool kit",tensor(0.7428),0.82,0.544,0.45333335,0.68,0.9991792
478,carton,tensor(0.7428),0.82,0.54545456,0.5510204,0.54,0.9995596
479,car wheel,tensor(0.7428),0.8,0.5479452,0.8695652,0.4,0.9999399
480,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",tensor(0.7428),0.88,0.72072077,0.6557377,0.8,0.9995796
481,cassette,tensor(0.7428),0.84,0.7111111,0.8,0.64,0.99983984
482,cassette player,tensor(0.7428),0.94,0.32941177,0.4,0.28,0.9995796
483,castle,tensor(0.7428),0.86,0.7,0.7,0.7,0.9996997
484,catamaran,tensor(0.7428),1.0,0.7083334,0.73913044,0.68,0.99975973
485,CD player,tensor(0.7428),0.86,0.43373495,0.54545456,0.36,0.9996997
486,"cello, violoncello",tensor(0.7428),0.98,0.9183674,0.9375,0.9,0.9999399
487,"cellular telephone, cellular phone, cellphone, cell, mobile phone",tensor(0.7428),0.84,0.63461536,0.6111111,0.66,0.9995796
488,chain,tensor(0.7428),0.74,0.40506327,0.55172414,0.32,0.99973977
489,chainlink fence,tensor(0.7428),0.82,0.6938775,0.7083333,0.68,0.99971974
490,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",tensor(0.7428),0.86,0.75294113,0.9142857,0.64,0.9999399
491,"chain saw, chainsaw",tensor(0.7428),0.88,0.83146065,0.94871795,0.74,0.99995995
492,chest,tensor(0.7428),0.88,0.7010309,0.7234042,0.68,0.99973977
493,"chiffonier, commode",tensor(0.7428),0.66,0.5063291,0.6896552,0.4,0.9998198
494,"chime, bell, gong",tensor(0.7428),0.84,0.57142854,0.63414633,0.52,0.9996997
495,"china cabinet, china closet",tensor(0.7428),0.94,0.82,0.82,0.82,0.9998198
496,Christmas stocking,tensor(0.7428),0.94,0.8431373,0.8269231,0.86,0.9998198
497,"church, church building",tensor(0.7428),0.84,0.4883721,0.5833333,0.42,0.9996997
498,"cinema, movie theater, movie theatre, movie house, picture palace",tensor(0.7428),0.9,0.6666667,0.65384614,0.68,0.99963963
499,"cleaver, meat cleaver, chopper",tensor(0.7428),0.84,0.41463414,0.53125,0.34,0.9996997
500,cliff dwelling,tensor(0.7428),0.96,0.9019608,0.88461536,0.92,0.9998799
501,cloak,tensor(0.7428),0.7,0.4691358,0.61290324,0.38,0.99975973
502,"clog, geta, patten, sabot",tensor(0.7428),0.86,0.76086956,0.8333333,0.7,0.99985987
503,cocktail shaker,tensor(0.7428),0.88,0.6292135,0.71794873,0.56,0.99977976
504,coffee mug,tensor(0.7428),0.78,0.5192308,0.5,0.54,0.99945945
505,coffeepot,tensor(0.7428),0.88,0.58620685,0.5151515,0.68,0.99935937
506,"coil, spiral, volute, whorl, helix",tensor(0.7428),0.92,0.7083334,0.73913044,0.68,0.99975973
507,combination lock,tensor(0.7428),0.84,0.68085104,0.72727275,0.64,0.99975973
508,"computer keyboard, keypad",tensor(0.7428),0.84,0.5981308,0.5614035,0.64,0.9994995
509,"confectionery, confectionary, candy store",tensor(0.7428),0.9,0.517647,0.62857145,0.44,0.99973977
510,"container ship, containership, container vessel",tensor(0.7428),0.98,0.84905666,0.8035714,0.9,0.99977976
511,convertible,tensor(0.7428),0.96,0.69902915,0.6792453,0.72,0.99965966
512,"corkscrew, bottle screw",tensor(0.7428),0.98,0.88,0.88,0.88,0.9998799
513,"cornet, horn, trumpet, trump",tensor(0.7428),0.84,0.6741574,0.7692308,0.6,0.9998198
514,cowboy boot,tensor(0.7428),0.84,0.75294113,0.9142857,0.64,0.9999399
515,"cowboy hat, ten-gallon hat",tensor(0.7428),0.9,0.62745094,0.61538464,0.64,0.9995996
516,cradle,tensor(0.7428),0.88,0.4,0.45,0.36,0.9995596
517,crane,tensor(0.7428),1.0,0.77358484,0.73214287,0.82,0.9996997
518,crash helmet,tensor(0.7428),1.0,0.80357146,0.7258065,0.9,0.99965966
519,crate,tensor(0.7428),0.84,0.57894737,0.515625,0.66,0.9993794
520,"crib, cot",tensor(0.7428),0.98,0.776699,0.754717,0.8,0.99973977
521,Crock Pot,tensor(0.7428),0.94,0.79120886,0.8780488,0.72,0.9998999
522,croquet ball,tensor(0.7428),1.0,0.7627118,0.6617647,0.9,0.99953955
523,crutch,tensor(0.7428),0.74,0.45045045,0.40983605,0.5,0.99927926
524,cuirass,tensor(0.7428),0.88,0.49523807,0.47272727,0.52,0.9994194
525,"dam, dike, dyke",tensor(0.7428),0.94,0.76190484,0.72727275,0.8,0.9996997
526,desk,tensor(0.7428),0.98,0.46153846,0.3548387,0.66,0.9987988
527,desktop computer,tensor(0.7428),0.98,0.49253732,0.39285713,0.66,0.998979
528,"dial telephone, dial phone",tensor(0.7428),0.96,0.9183674,0.9375,0.9,0.9999399
529,"diaper, nappy, napkin",tensor(0.7428),0.86,0.626087,0.5538462,0.72,0.9994194
530,digital clock,tensor(0.7428),0.86,0.6666667,0.75,0.6,0.9997998
531,digital watch,tensor(0.7428),0.86,0.63043475,0.6904762,0.58,0.99973977
532,"dining table, board",tensor(0.7428),0.92,0.6942148,0.5915493,0.84,0.9994194
533,"dishrag, dishcloth",tensor(0.7428),0.98,0.84905666,0.8035714,0.9,0.99977976
534,"dishwasher, dish washer, dishwashing machine",tensor(0.7428),0.8,0.65168536,0.74358976,0.58,0.9997998
535,"disk brake, disc brake",tensor(0.7428),0.98,0.9019608,0.88461536,0.92,0.9998799
536,"dock, dockage, docking facility",tensor(0.7428),0.84,0.3888889,0.6363636,0.28,0.99983984
537,"dogsled, dog sled, dog sleigh",tensor(0.7428),0.98,0.8952381,0.8545455,0.94,0.99983984
538,dome,tensor(0.7428),0.96,0.7291667,0.76086956,0.7,0.99977976
539,"doormat, welcome mat",tensor(0.7428),0.76,0.6444444,0.725,0.58,0.99977976
540,"drilling platform, offshore rig",tensor(0.7428),1.0,0.8545455,0.78333336,0.94,0.99973977
541,"drum, membranophone, tympan",tensor(0.7428),0.66,0.44444448,0.58064514,0.36,0.99973977
542,drumstick,tensor(0.7428),0.88,0.57142854,0.63414633,0.52,0.9996997
543,dumbbell,tensor(0.7428),0.9,0.53333336,0.5090909,0.56,0.99945945
544,Dutch oven,tensor(0.7428),0.92,0.7326733,0.7254902,0.74,0.99971974
545,"electric fan, blower",tensor(0.7428),0.9,0.80733943,0.7457627,0.88,0.9996997
546,electric guitar,tensor(0.7428),0.94,0.6736842,0.7111111,0.64,0.99973977
547,electric locomotive,tensor(0.7428),0.98,0.86868685,0.877551,0.86,0.9998799
548,entertainment center,tensor(0.7428),0.98,0.7933884,0.6760563,0.96,0.99953955
549,envelope,tensor(0.7428),0.82,0.5581395,0.6666667,0.48,0.99975973
550,espresso maker,tensor(0.7428),0.94,0.7391304,0.8095238,0.68,0.99983984
551,face powder,tensor(0.7428),0.9,0.7755102,0.7916667,0.76,0.9997998
552,"feather boa, boa",tensor(0.7428),0.86,0.77894735,0.82222223,0.74,0.99983984
553,"file, file cabinet, filing cabinet",tensor(0.7428),0.98,0.7924529,0.75,0.84,0.99971974
554,fireboat,tensor(0.7428),0.98,0.93333334,0.8909091,0.98,0.9998799
555,"fire engine, fire truck",tensor(0.7428),0.9,0.8351648,0.9268293,0.76,0.9999399
556,"fire screen, fireguard",tensor(0.7428),0.86,0.6930693,0.6862745,0.7,0.9996797
557,"flagpole, flagstaff",tensor(0.7428),0.94,0.76,0.76,0.76,0.99975973
558,"flute, transverse flute",tensor(0.7428),0.72,0.42105263,0.44444445,0.4,0.9994995
559,folding chair,tensor(0.7428),0.86,0.6593407,0.73170733,0.6,0.99977976
560,football helmet,tensor(0.7428),0.96,0.87234044,0.9318182,0.82,0.9999399
561,forklift,tensor(0.7428),0.98,0.87234044,0.9318182,0.82,0.9999399
562,fountain,tensor(0.7428),0.92,0.7551021,0.7708333,0.74,0.99977976
563,fountain pen,tensor(0.7428),0.96,0.795699,0.8604651,0.74,0.9998799
564,four-poster,tensor(0.7428),0.98,0.84905666,0.8035714,0.9,0.99977976
565,freight car,tensor(0.7428),1.0,0.96,0.96,0.96,0.99995995
566,"French horn, horn",tensor(0.7428),0.88,0.8351648,0.9268293,0.76,0.9999399
567,"frying pan, frypan, skillet",tensor(0.7428),0.8,0.5679012,0.7419355,0.46,0.99983984
568,fur coat,tensor(0.7428),0.98,0.8518518,0.79310346,0.92,0.99975973
569,"garbage truck, dustcart",tensor(0.7428),1.0,0.77966106,0.6764706,0.92,0.9995596
570,"gasmask, respirator, gas helmet",tensor(0.7428),0.9,0.7522935,0.69491524,0.82,0.99963963
571,"gas pump, gasoline pump, petrol pump, island dispenser",tensor(0.7428),0.96,0.80808085,0.81632656,0.8,0.9998198
572,goblet,tensor(0.7428),0.9,0.61176467,0.74285716,0.52,0.9998198
573,go-kart,tensor(0.7428),1.0,0.95049506,0.9411765,0.96,0.9999399
574,golf ball,tensor(0.7428),0.92,0.8453609,0.87234044,0.82,0.9998799
575,"golfcart, golf cart",tensor(0.7428),0.92,0.81553394,0.7924528,0.84,0.99977976
576,gondola,tensor(0.7428),0.98,0.9514563,0.9245283,0.98,0.9999199
577,"gong, tam-tam",tensor(0.7428),0.92,0.77064216,0.7118644,0.84,0.99965966
578,gown,tensor(0.7428),1.0,0.64285713,0.7941176,0.54,0.99985987
579,"grand piano, grand",tensor(0.7428),0.94,0.7311828,0.7906977,0.68,0.9998198
580,"greenhouse, nursery, glasshouse",tensor(0.7428),0.94,0.78350514,0.80851066,0.76,0.9998198
581,"grille, radiator grille",tensor(0.7428),0.78,0.71428573,0.88235295,0.6,0.9999199
582,"grocery store, grocery, food market, market",tensor(0.7428),0.88,0.53333336,0.45714286,0.64,0.99923927
583,guillotine,tensor(0.7428),0.98,0.8703704,0.8103448,0.94,0.99977976
584,hair slide,tensor(0.7428),0.76,0.47272727,0.43333334,0.52,0.9993193
585,hair spray,tensor(0.7428),0.74,0.37837836,0.5833333,0.28,0.9997998
586,half track,tensor(0.7428),0.88,0.71999997,0.72,0.72,0.99971974
587,hammer,tensor(0.7428),0.8,0.6666667,0.8235294,0.56,0.9998799
588,hamper,tensor(0.7428),0.9,0.6336633,0.627451,0.64,0.9996196
589,"hand blower, blow dryer, blow drier, hair dryer, hair drier",tensor(0.7428),0.8,0.6813187,0.75609756,0.62,0.9997998
590,"hand-held computer, hand-held microcomputer",tensor(0.7428),0.92,0.6956521,0.7619048,0.64,0.9997998
591,"handkerchief, hankie, hanky, hankey",tensor(0.7428),0.94,0.8076922,0.7777778,0.84,0.99975973
592,"hard disc, hard disk, fixed disk",tensor(0.7428),0.92,0.8367347,0.8541667,0.82,0.99985987
593,"harmonica, mouth organ, harp, mouth harp",tensor(0.7428),0.88,0.74,0.74,0.74,0.99973977
594,harp,tensor(0.7428),0.94,0.8653845,0.8333333,0.9,0.9998198
595,"harvester, reaper",tensor(0.7428),1.0,0.7378641,0.7169811,0.76,0.9996997
596,hatchet,tensor(0.7428),0.8,0.6451613,0.6976744,0.6,0.99973977
597,holster,tensor(0.7428),0.8,0.68817204,0.74418604,0.64,0.99977976
598,"home theater, home theatre",tensor(0.7428),0.94,0.62790704,0.75,0.54,0.9998198
599,honeycomb,tensor(0.7428),0.88,0.67346936,0.6875,0.66,0.9996997
600,"hook, claw",tensor(0.7428),0.72,0.29213482,0.33333334,0.26,0.9994795
601,"hoopskirt, crinoline",tensor(0.7428),0.86,0.5846154,0.475,0.76,0.99915916
602,"horizontal bar, high bar",tensor(0.7428),0.96,0.6851852,0.63793105,0.74,0.9995796
603,"horse cart, horse-cart",tensor(0.7428),0.98,0.79591835,0.8125,0.78,0.9998198
604,hourglass,tensor(0.7428),0.98,0.98,0.98,0.98,0.99998
605,iPod,tensor(0.7428),0.88,0.8041237,0.82978725,0.78,0.99983984
606,"iron, smoothing iron",tensor(0.7428),0.94,0.80808085,0.81632656,0.8,0.9998198
607,jack-o'-lantern,tensor(0.7428),0.98,0.9320388,0.9056604,0.96,0.9998999
608,"jean, blue jean, denim",tensor(0.7428),0.86,0.7216495,0.7446808,0.7,0.99975973
609,"jeep, landrover",tensor(0.7428),0.94,0.77894735,0.82222223,0.74,0.99983984
610,"jersey, T-shirt, tee shirt",tensor(0.7428),0.92,0.83168316,0.8235294,0.84,0.9998198
611,jigsaw puzzle,tensor(0.7428),0.94,0.8823529,0.86538464,0.9,0.99985987
612,"jinrikisha, ricksha, rickshaw",tensor(0.7428),1.0,0.79646015,0.71428573,0.9,0.99963963
613,joystick,tensor(0.7428),0.96,0.81904763,0.7818182,0.86,0.99975973
614,kimono,tensor(0.7428),0.94,0.7924529,0.75,0.84,0.99971974
615,knee pad,tensor(0.7428),0.9,0.86315787,0.9111111,0.82,0.9999199
616,knot,tensor(0.7428),0.82,0.76,0.76,0.76,0.99975973
617,"lab coat, laboratory coat",tensor(0.7428),0.96,0.62992126,0.5194805,0.8,0.99925923
618,ladle,tensor(0.7428),0.68,0.37974682,0.51724136,0.3,0.99971974
619,"lampshade, lamp shade",tensor(0.7428),0.94,0.5194805,0.7407407,0.4,0.99985987
620,"laptop, laptop computer",tensor(0.7428),0.86,0.31250003,0.32608697,0.3,0.9993794
621,"lawn mower, mower",tensor(0.7428),0.94,0.82242984,0.7719298,0.88,0.99973977
622,"lens cap, lens cover",tensor(0.7428),0.64,0.6052632,0.88461536,0.46,0.9999399
623,"letter opener, paper knife, paperknife",tensor(0.7428),0.62,0.5,0.8181818,0.36,0.9999199
624,library,tensor(0.7428),0.98,0.5492958,0.42391303,0.78,0.9989389
625,lifeboat,tensor(0.7428),0.98,0.9306931,0.92156863,0.94,0.9999199
626,"lighter, light, igniter, ignitor",tensor(0.7428),0.86,0.6666666,0.59375,0.76,0.9994795
627,"limousine, limo",tensor(0.7428),0.96,0.79999995,0.84444445,0.76,0.99985987
628,"liner, ocean liner",tensor(0.7428),0.98,0.8761905,0.8363636,0.92,0.9998198
629,"lipstick, lip rouge",tensor(0.7428),0.9,0.8041237,0.82978725,0.78,0.99983984
630,Loafer,tensor(0.7428),0.98,0.86,0.86,0.86,0.99985987
631,lotion,tensor(0.7428),0.9,0.619469,0.5555556,0.7,0.9994394
632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",tensor(0.7428),0.72,0.6292135,0.71794873,0.56,0.99977976
633,"loupe, jeweler's loupe",tensor(0.7428),0.58,0.475,0.6333333,0.38,0.99977976
634,"lumbermill, sawmill",tensor(0.7428),0.98,0.6666666,0.55263156,0.84,0.9993193
635,magnetic compass,tensor(0.7428),0.84,0.7070707,0.71428573,0.7,0.99971974
636,"mailbag, postbag",tensor(0.7428),1.0,0.6981132,0.66071427,0.74,0.9996196
637,"mailbox, letter box",tensor(0.7428),0.92,0.84210527,0.8888889,0.8,0.9998999
638,maillot,tensor(0.7428),0.94,0.25,0.28947368,0.22,0.99945945
639,"maillot, tank suit",tensor(0.7428),0.9,0.3232323,0.3265306,0.32,0.99933934
640,manhole cover,tensor(0.7428),0.94,0.9375,0.9782609,0.9,0.99998
641,maraca,tensor(0.7428),0.9,0.7378641,0.7169811,0.76,0.9996997
642,"marimba, xylophone",tensor(0.7428),1.0,0.8703704,0.8103448,0.94,0.99977976
643,mask,tensor(0.7428),0.72,0.61176467,0.74285716,0.52,0.9998198
644,matchstick,tensor(0.7428),0.96,0.67307687,0.6481481,0.7,0.9996196
645,maypole,tensor(0.7428),1.0,0.8727273,0.8,0.96,0.99975973
646,"maze, labyrinth",tensor(0.7428),0.96,0.84905666,0.8035714,0.9,0.99977976
